id_cliente,nome_cliente,estado,pais,data_cadastro
cus_71308b76151a,Srta. Amanda Sousa,MS,Brasil,2023-10-03 13:49:51
cus_0914bdf6e1fe,Isabelly Câmara,MT,Brasil,2025-06-23 08:49:51
cus_d36c11b261a6,Cauã Rocha,MA,Brasil,2024-02-10 13:49:51
cus_d2762f5968fe,Dra. Aurora Pastor,SE,Brasil,2022-12-31 15:49:51
cus_a01814ad9247,Ana Beatriz Alves,SP,Brasil,2023-02-06 06:49:51
cus_f64907d41a69,Henrique da Conceição,DF,Brasil,2024-12-09 11:49:51
cus_25c656241a9a,Amanda Novais,GO,Brasil,2023-03-24 11:49:51
cus_a2e18141f826,Ísis Leão,CE,Brasil,2025-01-30 15:49:51
cus_25d1cb23f872,Melissa Pastor,AC,Brasil,2025-05-20 01:49:51
cus_cf84750c1fb4,Alana Teixeira,MA,Brasil,2022-12-31 16:49:51
cus_1a38731e1fbe,Otávio Fernandes,ES,Brasil,2025-03-19 22:49:51
cus_8ad3c8745efb,Eduardo Cunha,AC,Brasil,2024-12-07 19:49:51
cus_3580317ddeab,Bella Borges,AM,Brasil,2025-01-07 18:49:51
cus_eae005fd3470,Calebe Fogaça,TO,Brasil,2023-11-27 20:49:51
cus_0ff4cceccc6f,João Aparecida,CE,Brasil,2023-06-17 22:49:51
cus_508a15ccf0fa,Sra. Zoe Campos,MT,Brasil,2023-06-08 10:49:51
cus_36595eecf105,Bruno Novaes,PA,Brasil,2023-04-28 11:49:51
cus_c8d383cfde0c,Maria Cecília Oliveira,AM,Brasil,2022-10-02 03:49:51
cus_a9747473c5c6,Ana Lívia Aparecida,AL,Brasil,2023-10-23 01:49:51
cus_639110db69ed,Sr. João Vitor Barros,AP,Brasil,2025-01-16 11:49:51
cus_78ab1cf16e12,Beatriz Garcia,SE,Brasil,2024-07-19 16:49:51
cus_8fa04d3a5837,Rafael Porto,RS,Brasil,2023-11-14 00:49:51
cus_79d52b75f259,Elisa Freitas,CE,Brasil,2023-01-22 14:49:51
cus_f1a06ae11717,Gustavo Henrique Rios,AM,Brasil,2025-01-19 09:49:51
cus_2b1b3e2a1515,Ana Sophia Pereira,MG,Brasil,2025-02-15 04:49:51
cus_c9cd13d1ae9f,Srta. Yasmin Siqueira,PA,Brasil,2024-09-15 03:49:51
cus_a8f8e01eaee8,Elisa Martins,ES,Brasil,2023-08-17 16:49:51
cus_f50da5532735,João Gabriel Porto,MG,Brasil,2024-08-18 05:49:51
cus_ec8d75866856,Sr. Luan Vargas,RS,Brasil,2025-10-17 07:49:51
cus_644bf6820c61,Heloísa Andrade,PR,Brasil,2024-01-27 13:49:51
cus_c3944101594c,Murilo da Mata,RR,Brasil,2023-04-20 19:49:51
cus_911b23c97589,Heitor Nunes,MS,Brasil,2023-04-28 03:49:51
cus_b42a15933072,Dr. Heitor Rezende,PE,Brasil,2025-07-04 17:49:51
cus_418af67b6b28,Miguel Ramos,TO,Brasil,2025-02-10 00:49:51
cus_66677d443e5e,Cecília da Luz,AC,Brasil,2023-07-31 14:49:51
cus_4e62d52db97a,Josué Souza,RJ,Brasil,2024-04-06 14:49:51
cus_0343c0763f76,Vitor Gabriel da Luz,RS,Brasil,2023-05-22 15:49:51
cus_b0026583b709,Dra. Mariane Pacheco,MT,Brasil,2023-02-23 22:49:51
cus_f1eccf8e0d99,Luiz Miguel Câmara,GO,Brasil,2023-01-22 23:49:51
cus_7262f4e5ce9f,Sophia Monteiro,SP,Brasil,2024-04-26 04:49:51
cus_d4db3db9eccb,Ana Julia Camargo,PB,Brasil,2024-08-07 23:49:51
cus_884be6e0ce9a,Emanuel Vieira,PA,Brasil,2025-06-21 01:49:51
cus_fa3a88d1ccef,Dr. Benício Gomes,AL,Brasil,2023-01-01 00:49:51
cus_31874cf2d1e5,Nina Moura,SP,Brasil,2023-02-08 00:49:51
cus_df9e0b31fa20,Yuri Albuquerque,SE,Brasil,2023-04-26 16:49:51
cus_6ff11137142d,Sr. Vitor Gabriel Sá,TO,Brasil,2023-11-10 09:49:51
cus_9d2dd4770a79,Luigi Camargo,GO,Brasil,2025-07-28 06:49:51
cus_4209c24e0be2,Maya Castro,TO,Brasil,2025-05-14 23:49:51
cus_96658dc10aa5,Agatha Silveira,PA,Brasil,2025-03-15 16:49:51
cus_13af118ef4e8,Sra. Sarah Teixeira,AM,Brasil,2024-12-19 20:49:51
